000.png,47.6,58.1,50.9,38.4,61.5,26.8,76.7,22.8,92.3,23.3
001.png,44.4,58.2,42.3,36.3,43.0,19.7,57.1,13.4,81.3,12.0
002.png,48.5,57.6,47.9,38.6,55.4,27.8,71.1,20.4,92.7,20.4
003.png,50.8,58.4,50.6,33.8,53.0,17.7,66.9,11.1,87.9,9.5
004.png,39.6,57.7,39.0,30.2,49.7,14.7,64.6,10.9,87.5,10.3
005.png,50.6,57.9,51.3,41.4,60.8,27.5,72.4,18.4,91.9,16.5
006.png,49.7,57.4,51.9,31.2,54.2,14.2,69.2,10.9,91.0,13.7
007.png,49.0,56.8,49.3,38.8,50.3,23.7,69.1,16.3,92.4,17.6
008.png,49.0,57.5,50.7,40.1,60.3,28.0,75.1,23.0,92.2,24.4
009.png,51.1,58.7,35.6,26.1,44.5,42.1,29.2,14.6,23.9,5.6
010.png,39.3,58.9,35.8,42.5,28.9,29.2,18.0,21.2,3.2,15.4
011.png,48.4,57.6,41.5,42.0,26.8,28.4,20.5,19.1,10.1,14.5
012.png,45.6,57.4,44.6,31.2,24.5,21.3,5.4,18.0,15.9,4.3
013.png,46.8,57.6,25.8,37.2,3.8,28.8,4.1,14.7,17.7,3.9
014.png,37.2,57.4,40.4,33.5,55.0,24.4,79.0,17.5,90.2,10.0
015.png,48.8,57.6,52.0,30.8,53.7,21.5,65.6,18.4,92.1,19.4
016.png,50.1,57.5,51.3,49.3,57.0,44.8,68.4,42.9,91.3,42.7
017.png,49.4,57.6,49.5,39.9,54.6,29.8,67.9,26.4,91.8,27.0
018.png,46.7,57.0,48.0,31.6,53.3,18.6,66.6,8.1,91.1,7.4
019.png,53.3,57.7,50.7,41.7,53.3,28.7,54.1,15.8,64.5,2.0
020.png,49.8,57.4,54.8,38.6,49.5,24.5,56.2,13.8,63.6,2.9
021.png,49.1,58.3,41.7,39.6,48.7,26.7,54.2,15.8,60.0,3.9
022.png,50.7,57.6,58.5,38.7,62.8,24.4,66.1,14.3,68.9,4.9
023.png,52.2,57.7,55.5,36.0,57.2,20.6,59.4,6.3,67.3,3.9
024.png,48.8,58.3,50.0,29.5,50.8,17.0,54.2,7.5,62.4,5.3
025.png,47.6,58.9,48.6,42.5,49.0,24.7,51.1,10.2,63.7,6.5
026.png,48.7,57.5,48.4,38.2,48.8,23.7,51.3,12.6,68.0,9.6
027.png,48.1,58.4,48.2,40.0,49.3,22.5,59.3,14.1,74.9,13.4
028.png,49.5,58.0,52.0,39.4,58.1,25.6,73.1,20.5,87.6,20.1
029.png,57.8,58.4,70.2,25.7,74.0,6.0,38.3,3.3,4.6,11.2
030.png,49.3,57.9,55.5,25.6,53.9,4.9,23.7,4.7,5.0,11.9
031.png,47.8,57.9,50.5,21.8,50.6,6.8,30.3,4.0,4.3,11.0
032.png,48.8,58.3,49.4,21.7,47.4,8.7,27.1,5.1,4.5,10.3
033.png,49.4,55.4,49.8,23.2,41.7,10.4,21.7,8.4,3.0,12.3
034.png,48.4,55.1,49.9,28.6,43.7,14.2,27.5,10.9,4.3,12.9
035.png,48.0,57.3,48.3,32.0,41.9,19.8,21.5,16.8,2.4,18.0
036.png,48.4,57.5,41.4,38.2,29.4,28.4,16.3,25.4,1.8,24.7
037.png,37.2,57.6,26.5,35.3,28.1,22.6,29.6,13.4,41.7,8.6
038.png,45.9,57.0,49.2,38.7,53.4,28.3,53.2,18.6,67.6,13.5
039.png,54.7,57.8,54.8,40.2,56.0,25.7,71.5,19.0,91.8,19.0
040.png,47.3,57.6,52.8,39.5,64.2,30.2,79.0,25.8,92.2,25.5
